machine_id,maintenance_date,issue_type,downtime_hours
MC04,2024-05-02,,1.5
MC01,,,
MC04,2024-08-01,Vibration,
MC02,2024-01-02,,2.0
MC01,2024-08-01,,1.5
MC05,,,2.5
MC04,,,
MC01,,Electrical,1.5
MC03,2024-11-01,,4.0
MC04,,Vibration,2.0
MC01,,,4.0
MC01,,,1.5
MC05,,,1.5
MC05,,Vibration,4.0
MC03,,,4.0
MC01,2024-04-02,,1.5
MC02,,,
MC03,,Overheat,2.0
MC02,,,2.5
MC05,,Electrical,2.5
MC05,,Overheat,
MC04,,,1.5
MC04,,Vibration,2.0
MC04,,Electrical,4.0
MC02,,,1.5
MC02,2024-09-01,,
MC02,,,1.5
MC04,,Overheat,1.5
MC01,,,1.5
MC02,,,2.5
MC05,,Vibration,1.5
MC01,,Overheat,1.5
MC05,,,2.0
MC03,,,4.0
MC05,,Electrical,
MC05,,Overheat,1.5
MC05,,,
MC02,,Electrical,1.5
MC01,,Electrical,
MC04,,,
MC01,2024-12-01,,
MC02,,Overheat,4.0
MC01,,,
MC03,,,1.5
MC01,,,4.0
MC04,2024-08-02,,
MC02,,,2.0
MC01,,,
MC03,,,
MC01,,,
MC01,,,
MC05,2024-07-01,,1.5
MC03,,Electrical,
MC01,,,
MC03,,Electrical,2.5
MC03,,,
MC03,,,
MC05,,,1.5
MC01,,,
MC02,,Overheat,1.5
