sensor_id,timestamp,value,unit
SEN08,2024-01-08 12:23:00,,°C
SEN03,,80.0,Amp
SEN09,,25.5,mm/s
SEN08,,45.0,°C
SEN09,2024-01-09 12:37:00,25.5,A
SEN09,2024-01-09 07:00:00,,Amp
SEN10,2024-01-08 19:21:00,80.0,mm/s
SEN03,,45.0,mm/s
SEN10,,,degC
SEN10,,45.0,C
SEN05,2024-01-06 04:05:00,25.5,mm/s
SEN05,2024-01-02 09:39:00,80.0,C
SEN02,,45.0,degC
SEN08,2024-01-04 22:51:00,45.0,mm/s
SEN08,,25.5,A
SEN02,,30.2,Amp
SEN07,2024-01-09 05:24:00,,degC
SEN04,,25.5,mm/s
SEN02,2024-01-01 13:10:00,,mm/s
SEN08,,30.2,A
SEN07,2024-01-06 01:16:00,,C
SEN05,2024-01-10 21:51:00,45.0,A
SEN09,2024-01-08 06:02:00,,A
SEN07,,80.0,A
SEN05,2024-01-03 20:51:00,45.0,A
SEN08,,45.0,mm/s
SEN09,,30.2,A
SEN09,2024-01-01 02:43:00,25.5,C
SEN07,2024-01-02 01:33:00,,A
SEN04,2024-01-08 17:18:00,25.5,C
SEN10,,45.0,mm/s
SEN10,,25.5,°C
SEN10,,45.0,degC
SEN02,2024-01-08 10:11:00,,°C
SEN08,,45.0,A
SEN05,2024-01-02 17:49:00,25.5,A
SEN07,2024-01-04 13:03:00,80.0,degC
SEN08,,30.2,A
SEN03,2024-01-07 21:31:00,,A
SEN04,2024-01-07 13:41:00,,mm/s
SEN02,2024-01-01 08:04:00,45.0,mm/s
SEN08,2024-01-01 04:57:00,45.0,C
SEN01,2024-01-08 02:24:00,45.0,A
SEN07,,,Amp
SEN07,,25.5,mm/s
SEN01,,,°C
SEN10,,80.0,mm/s
SEN07,,45.0,°C
SEN06,,25.5,Amp
SEN05,2024-01-07 21:12:00,25.5,A
SEN04,2024-01-04 04:44:00,25.5,A
SEN08,,45.0,mm/s
SEN03,2024-01-01 09:12:00,,mm/s
SEN08,,45.0,mm/s
SEN08,,25.5,C
SEN06,,25.5,A
SEN02,,,Amp
SEN09,,25.5,C
SEN03,2024-01-06 05:41:00,,C
SEN04,2024-01-08 11:41:00,30.2,C
SEN05,2024-01-09 18:50:00,,degC
SEN10,,25.5,Amp
SEN10,2024-01-09 12:39:00,30.2,A
SEN06,,45.0,A
SEN06,,30.2,A
SEN04,,80.0,°C
SEN02,,30.2,A
SEN09,2024-01-02 18:28:00,,C
SEN03,,,A
SEN03,2024-01-01 04:56:00,25.5,C
SEN03,,,mm/s
SEN07,,,degC
SEN04,2024-01-02 12:40:00,,A
SEN04,,25.5,degC
SEN08,,80.0,A
SEN07,2024-01-01 01:35:00,25.5,°C
SEN10,,,mm/s
SEN08,,80.0,C
SEN04,2024-01-02 04:50:00,,Amp
SEN03,,25.5,A
SEN05,2024-01-03 05:27:00,,Amp
SEN01,2024-01-02 02:47:00,,degC
SEN03,2024-01-09 09:01:00,25.5,°C
SEN04,,80.0,A
SEN04,,30.2,°C
SEN06,2024-01-03 10:06:00,,mm/s
SEN07,2024-01-10 12:14:00,,Amp
SEN01,2024-01-10 11:27:00,,Amp
SEN03,2024-01-05 03:23:00,45.0,mm/s
SEN06,2024-01-03 21:12:00,25.5,C
SEN05,,,A
SEN03,2024-01-09 02:21:00,80.0,degC
SEN10,,,mm/s
SEN02,,30.2,Amp
SEN08,,45.0,mm/s
SEN04,,,degC
SEN10,2024-01-10 13:00:00,25.5,C
SEN08,,,A
SEN08,,25.5,Amp
SEN08,,25.5,A
SEN04,2024-01-02 09:22:00,45.0,°C
SEN01,2024-01-06 02:42:00,45.0,Amp
SEN10,2024-01-08 23:37:00,,Amp
SEN03,2024-01-10 07:45:00,80.0,Amp
SEN01,2024-01-10 04:40:00,45.0,A
SEN09,2024-01-01 08:18:00,80.0,mm/s
SEN02,2024-01-07 14:56:00,25.5,A
SEN01,2024-01-02 04:24:00,,C
SEN06,,45.0,°C
SEN09,2024-01-08 13:49:00,80.0,mm/s
SEN09,2024-01-02 05:41:00,,mm/s
SEN04,,,A
SEN05,2024-01-01 13:04:00,,Amp
SEN09,2024-01-06 14:53:00,45.0,mm/s
SEN08,,45.0,°C
SEN04,2024-01-10 12:56:00,25.5,A
SEN03,2024-01-04 01:04:00,80.0,°C
SEN03,,,C
SEN05,,30.2,Amp
SEN06,,25.5,mm/s
SEN04,,30.2,A
SEN07,,80.0,Amp
SEN10,,,Amp
SEN08,2024-01-04 05:36:00,80.0,degC
SEN05,2024-01-03 10:30:00,80.0,C
SEN03,2024-01-04 18:18:00,30.2,degC
SEN09,,45.0,degC
SEN03,2024-01-03 12:07:00,80.0,degC
SEN08,2024-01-03 18:23:00,,C
SEN06,2024-01-04 16:09:00,,degC
SEN09,,,Amp
SEN03,2024-01-05 21:59:00,25.5,A
SEN05,2024-01-06 01:57:00,,degC
SEN10,,80.0,°C
SEN08,2024-01-10 14:02:00,,°C
SEN05,,30.2,Amp
SEN06,2024-01-01 23:20:00,45.0,mm/s
SEN10,,80.0,mm/s
SEN01,,45.0,°C
SEN09,2024-01-05 04:12:00,,C
SEN06,,,A
SEN07,2024-01-04 23:00:00,80.0,mm/s
SEN08,2024-01-10 07:35:00,45.0,Amp
SEN07,2024-01-09 13:28:00,45.0,A
SEN07,,25.5,degC
SEN04,,,A
SEN02,,25.5,C
SEN07,2024-01-07 19:58:00,30.2,Amp
SEN10,2024-01-09 01:58:00,30.2,A
SEN05,2024-01-06 21:31:00,80.0,mm/s
